parent,target_occurrences,normalized_entities,observed_level0_targets,largest_observed_subtree_target_pct,largest_observed_subtree_entity_pct,largest_observed_subtree_name,largest_observed_subtree_country,normalized_dag_dominator_entity_pct,normalized_dag_dominator_name,root_reachable_entities,root_reachable_entity_pct,largest_unobserved_parent_subtree_entities,largest_unobserved_parent_name,largest_unobserved_parent_country
JINDAL STEEL AND POWER LTD,108,108,1,98.13084112,98.13084112,JINDAL STEEL AND POWER MAURITIUS LTD,MAURITIUS,98.13084112,JINDAL STEEL AND POWER MAURITIUS LTD,106,98.14814815,2,JINDAL ENERGY (SA) PTY LTD,SOUTH AFRICA
UPL LIMITED,81,81,3,97.5,97.5,UPL CORPORTAION LTD,MAURITIUS,97.5,UPL CORPORTAION LTD,81,100,0,,
TATA STEEL LTD,27,27,2,96.15384615,96.15384615,T STEEL HOLDINGS PTE. LTD.,SINGAPORE,96.15384615,T STEEL HOLDINGS PTE. LTD.,27,100,0,,
BIOCON BIOLOGICS LIMITED,23,23,2,95.45454545,95.45454545,BIOCON BIOLOGICS UK LIMITED,UNITED KINGDOM,95.45454545,BIOCON BIOLOGICS UK LIMITED,23,100,0,,
GLENMARK PHARMACEUTICALS LTD.,38,38,8,81.08108108,81.08108108,GLENMARK HOLDINGS SA,SWITZERLAND,81.08108108,GLENMARK HOLDINGS SA,38,100,0,,
BHARTI AIRTEL LIMITED,134,134,6,79.69924812,79.69924812,BHARTI AIRTEL INTERNATIONAL NETHERLANDS B.V,NETHERLANDS,79.69924812,BHARTI AIRTEL INTERNATIONAL NETHERLANDS B.V,132,98.50746269,2,BHARTI AIRTEL NIGERIA B.V.,NETHERLANDS
TATA COMMUNICATIONS LIMITED,50,49,8,71.42857143,70.83333333,TATA COMMUNICATIONS INTERNATIONAL PTE LTD,SINGAPORE,35.41666667,TATA COMMUNICATIONS (NETHERLANDS) B.V.,49,100,0,,
SUZLON ENERGY LTD.,37,35,2,72.22222222,70.58823529,SUZLON ENERGY LIMITED,MAURITIUS,58.82352941,SUZLON ENERGY LIMITED,35,100,0,,
SAMVARDHANA MOTHERSON INTERNATI,309,309,9,64.28571429,64.28571429,SAMVARDHANA MOTHERSON AUTOMOTIVE SYSTEMS GROUP B.V.,NETHERLANDS,64.28571429,SAMVARDHANA MOTHERSON AUTOMOTIVE SYSTEMS GROUP B.V.,309,100,0,,
BHARAT PETRORESOURCES LTD,20,20,5,63.15789474,63.15789474,BPRL INTERNATIONAL BV,NETHERLANDS,63.15789474,BPRL INTERNATIONAL BV,20,100,0,,
SUN PHARMACEUTICAL INDUSTRIES L,75,75,5,54.05405405,54.05405405,SUN PHARMA (NETHERLANDS) B.V,NETHERLANDS,54.05405405,SUN PHARMA (NETHERLANDS) B.V,69,92,6,RANBAXY INC,UNITED STATES OF AMERICA
