jurisdiction,target_paths_below,target_paths,pooled_pct,equal_parent_pct,loo_min_pct,loo_max_pct,parents_affected
NETHERLANDS,540,1834,29.4438386,20.88493784,22.42622951,32.96703297,16
UNITED STATES OF AMERICA,381,1834,20.7742639,14.92744967,15.87301587,23.73770492,16
MAURITIUS,308,1834,16.79389313,14.66435446,11.7612978,19.14754098,10
UNITED KINGDOM,219,1834,11.94111232,10.21413418,8.131147541,12.88156288,16
SINGAPORE,147,1834,8.015267176,13.55185286,6.109865471,9.31147541,13
CYPRUS,114,1834,6.215921483,2.981728281,2.344231956,6.95970696,5
GERMANY,99,1834,5.398037077,2.316495532,1.967213115,6.043956044,7
SWITZERLAND,89,1834,4.852780807,7.489003069,2.900167317,5.836065574,7
JERSEY,64,1834,3.489640131,0.7699022226,0.131147541,3.948180136,2
FINLAND,55,1834,2.998909487,1.040646903,0.5901639344,3.392967304,3
ESTONIA,47,1834,2.562704471,0.5432269995,0,2.899444787,1
LUXEMBOURG,40,1834,2.181025082,0.7641298988,1.048735349,2.442002442,4
CANADA,31,1834,1.690294438,1.647426647,0.0570450656,2.032786885,2
ISRAEL,28,1834,1.526717557,0.7559478818,0.1221001221,1.836065574,3
UNITED ARAB EMIRATES,27,1834,1.47219193,1.195542616,0.9836065574,1.665638495,7
AUSTRALIA,27,1834,1.47219193,0.4234821008,0.7868852459,1.648351648,3
HONG KONG,24,1834,1.308615049,0.4283642645,0.5245901639,1.465201465,4
BELGIUM,24,1834,1.308615049,0.4297389274,0.06169031462,1.573770492,2
HUNGARY,21,1834,1.145038168,0.3077982458,0.131147541,1.282051282,3
JAPAN,21,1834,1.145038168,0.652575753,0.5245901639,1.295496607,4
FRANCE,21,1834,1.145038168,0.419882799,0.3278688525,1.295496607,3
CHINA,16,1834,0.8724100327,0.1849283403,0,0.9870450339,1
SPAIN,15,1834,0.8178844057,0.6887724525,0.3278688525,0.9253547193,3
BRITISH VIRGIN ISLANDS,15,1834,0.8178844057,0.5180776014,0.1158748552,0.9836065574,2
DENMARK,14,1834,0.7633587786,1.112077873,0.1669449082,0.9180327869,2
CHANNEL ISLAND,14,1834,0.7633587786,1.470588235,0,0.9180327869,1
BARBADOS,10,1834,0.5452562704,0.3417107584,0.05793742758,0.6557377049,2
SOUTH KOREA,9,1834,0.4907306434,0.3981154854,0.1135718342,0.5552128316,3
SRI LANKA,9,1834,0.4907306434,0.1607906143,0.06169031462,0.5901639344,2
ITALY,8,1834,0.4362050164,0.4335276931,0.1703577513,0.5245901639,4
SWEDEN,8,1834,0.4362050164,1.875955132,0.1646542261,0.5245901639,4
BRAZIL,6,1834,0.3271537623,0.2046921346,0.1711351968,0.3663003663,4
IFSC GIFT CITY,6,1834,0.3271537623,1.774891775,0.1097092704,0.393442623,2
NAMIBIA,6,1834,0.3271537623,0.6302521008,0,0.393442623,1
IRELAND,6,1834,0.3271537623,0.2372258241,0.0570450656,0.393442623,2
