parent,parent_short,target_occurrences,normalized_entities,raw_source_rows,row_share_to_entity_share_ratio,uins,observed_level0_targets,jurisdictions,jurisdiction_hhi,top_jurisdiction,top_jurisdiction_pct,maximum_reported_level,maximum_reconstructed_level_complete,complete_path_pct,modal_uin_target_pct,largest_observed_subtree_entity_pct,largest_observed_subtree_name,largest_observed_subtree_country,named_node_inclusive_subtree_pct,named_node_inclusive_subtree_name,named_node_inclusive_subtree_country,strict_dag_dominator_entity_pct,strict_dag_dominator_name,root_reachable_entity_pct,nonroot_cross_border_edge_pct,valuation_ready_target_pct
JINDAL STEEL AND POWER LTD,Jindal Steel & Power,108,108,108,0.4890432924,1,1,24,0.08419067215,SOUTH AFRICA,15.74074074,6,6,98.14814815,100,98.13084112,JINDAL STEEL AND POWER MAURITIUS LTD,MAURITIUS,98.13084112,JINDAL STEEL AND POWER MAURITIUS LTD,MAURITIUS,98.13084112,JINDAL STEEL AND POWER MAURITIUS LTD,98.14814815,80.37383178,14.81481481
UPL LIMITED,UPL,81,81,91,0.5494190075,3,3,39,0.04526748971,UNITED STATES OF AMERICA,11.11111111,6,6,100,97.5308642,97.5,UPL CORPORTAION LTD,MAURITIUS,97.5,UPL CORPORTAION LTD,MAURITIUS,97.5,UPL CORPORTAION LTD,100,74.35897436,1.234567901
TATA STEEL LTD,Tata Steel,27,27,70,1.267890017,2,2,12,0.2043895748,SINGAPORE,40.74074074,4,3,100,96.2962963,96.15384615,T STEEL HOLDINGS PTE. LTD.,SINGAPORE,96.15384615,T STEEL HOLDINGS PTE. LTD.,SINGAPORE,96.15384615,T STEEL HOLDINGS PTE. LTD.,100,64,25.92592593
BIOCON BIOLOGICS LIMITED,Biocon Biologics,23,23,53,1.126925848,2,2,20,0.05860113422,UNITED KINGDOM,13.04347826,1,1,100,95.65217391,95.45454545,BIOCON BIOLOGICS UK LIMITED,UNITED KINGDOM,95.45454545,BIOCON BIOLOGICS UK LIMITED,UNITED KINGDOM,95.45454545,BIOCON BIOLOGICS UK LIMITED,100,95.23809524,0
GLENMARK PHARMACEUTICALS LTD.,Glenmark,38,38,126,1.621564601,8,8,28,0.06925207756,SWITZERLAND,21.05263158,2,2,100,81.57894737,81.08108108,GLENMARK HOLDINGS SA,SWITZERLAND,81.08108108,GLENMARK HOLDINGS SA,SWITZERLAND,81.08108108,GLENMARK HOLDINGS SA,100,83.33333333,10.52631579
BHARTI AIRTEL LIMITED,Bharti Airtel,134,134,260,0.9488899702,6,6,29,0.1055914458,NETHERLANDS,27.6119403,5,5,98.50746269,76.11940299,79.69924812,BHARTI AIRTEL INTERNATIONAL NETHERLANDS B.V,NETHERLANDS,79.69924812,BHARTI AIRTEL INTERNATIONAL NETHERLANDS B.V,NETHERLANDS,79.69924812,BHARTI AIRTEL INTERNATIONAL NETHERLANDS B.V,98.50746269,54.6875,19.40298507
TATA COMMUNICATIONS LIMITED,Tata Communications,50,49,550,5.489261445,8,8,32,0.05372761349,UNITED STATES OF AMERICA,16.32653061,2,2,100,68,70.83333333,TATA COMMUNICATIONS INTERNATIONAL PTE LTD,SINGAPORE,70.83333333,TATA COMMUNICATIONS INTERNATIONAL PTE LTD,SINGAPORE,35.41666667,TATA COMMUNICATIONS (NETHERLANDS) B.V.,100,92.85714286,92
SUZLON ENERGY LTD.,Suzlon,37,35,137,1.914255173,2,2,19,0.07591836735,NETHERLANDS,17.14285714,4,4,100,64.86486486,70.58823529,SUZLON ENERGY LIMITED,MAURITIUS,70.58823529,SUZLON ENERGY LIMITED,MAURITIUS,58.82352941,SUZLON ENERGY LIMITED,100,80,10.81081081
SAMVARDHANA MOTHERSON INTERNATI,Motherson,309,309,332,0.525444573,9,9,45,0.05972916078,CHINA,12.62135922,12,8,100,44.66019417,64.28571429,SAMVARDHANA MOTHERSON AUTOMOTIVE SYSTEMS GROUP B.V.,NETHERLANDS,64.28571429,SAMVARDHANA MOTHERSON AUTOMOTIVE SYSTEMS GROUP B.V.,NETHERLANDS,64.28571429,SAMVARDHANA MOTHERSON AUTOMOTIVE SYSTEMS GROUP B.V.,100,63.66666667,6.148867314
BHARAT PETRORESOURCES LTD,Bharat Petroresources,20,20,38,0.9291822555,5,5,7,0.25,NETHERLANDS,40,2,2,100,65,63.15789474,BPRL INTERNATIONAL BV,NETHERLANDS,63.15789474,BPRL INTERNATIONAL BV,NETHERLANDS,63.15789474,BPRL INTERNATIONAL BV,100,33.33333333,30
SUN PHARMACEUTICAL INDUSTRIES L,Sun Pharma,75,75,176,1.147621593,5,5,26,0.2213333333,UNITED STATES OF AMERICA,45.33333333,5,3,92,62.66666667,54.05405405,SUN PHARMA (NETHERLANDS) B.V,NETHERLANDS,54.05405405,SUN PHARMA (NETHERLANDS) B.V,NETHERLANDS,54.05405405,SUN PHARMA (NETHERLANDS) B.V,92,48.57142857,8
HINDALCO INDUSTRIES LIMITED,Hindalco,81,81,81,0.4890432924,3,3,25,0.1022709953,UNITED STATES OF AMERICA,24.69135802,12,6,46.91358025,95.0617284,43.75,ALERIS CORPORATION,UNITED STATES OF AMERICA,47.5,NOVELIS HOLDINGS INC.,UNITED STATES OF AMERICA,41.25,A V MINERALS (NETHERLANDS) N.V.,46.91358025,52.56410256,7.407407407
WIPRO LTD,Wipro,213,212,504,1.162631223,6,5,51,0.1346564614,UNITED STATES OF AMERICA,34.43396226,8,7,88.73239437,50.23474178,42.65402844,WIPRO LLC,UNITED STATES OF AMERICA,42.65402844,WIPRO LLC,UNITED STATES OF AMERICA,42.18009479,WIPRO LLC,88.67924528,56.73076923,23.4741784
VEDANTA LIMITED,Vedanta,34,34,167,2.402065583,5,5,13,0.1453287197,MAURITIUS,20.58823529,4,4,97.05882353,47.05882353,42.42424242,CAIRN INDIA HOLDINGS LTD,CHANNEL ISLAND,42.42424242,CAIRN INDIA HOLDINGS LTD,CHANNEL ISLAND,42.42424242,CAIRN INDIA HOLDINGS LTD,97.05882353,65.51724138,29.41176471
INFOSYS LTD,Infosys,57,57,57,0.4890432924,18,18,27,0.09572176054,GERMANY,24.56140351,3,3,82.45614035,59.64912281,41.07142857,INFOSYS SINGAPORE PTE LIMITED,SINGAPORE,41.07142857,INFOSYS SINGAPORE PTE LIMITED,SINGAPORE,41.07142857,INFOSYS SINGAPORE PTE LIMITED,82.45614035,53.84615385,14.03508772
MAHINDRA & MAHINDRA LTD,Mahindra & Mahindra,73,73,219,1.467129877,13,13,24,0.06999437043,UNITED STATES OF AMERICA,13.69863014,3,3,100,41.09589041,40.27777778,MAHINDRA OVERSEAS INVESTMENT COMPANY (MAURITIUS)LTD.,MAURITIUS,40.27777778,MAHINDRA OVERSEAS INVESTMENT COMPANY (MAURITIUS)LTD.,MAURITIUS,40.27777778,MAHINDRA OVERSEAS INVESTMENT COMPANY (MAURITIUS)LTD.,100,66.66666667,12.32876712
