gateway_country,gateways,parents,mean_descendants,median_descendants,parent_equal_mean_descendants,loo_min_mean_descendants,loo_max_mean_descendants,gateways_without_majority_child_branch,mean_descendants_without_majority_child_branch
NETHERLANDS,13,12,34.84615385,12,37.08333333,21.25,39.72727273,8,37.75
CYPRUS,3,3,29,11,29,5.5,43.5,2,43.5
MAURITIUS,17,11,17.88235294,5,19.66666667,12.4375,19.5,8,35.75
SWITZERLAND,3,3,13.66666667,10,13.66666667,5.5,20,2,20
UNITED STATES OF AMERICA,28,12,9.892857143,1.5,9.15625,7.192307692,11.33333333,12,15
ISRAEL,3,3,9,1,9,0.5,13.5,1,26
UNITED KINGDOM,13,10,8.923076923,2,10.01666667,4.25,10.8,3,13.66666667
SINGAPORE,18,12,7.5,3.5,7.361111111,6,8.533333333,10,8.9
UNITED ARAB EMIRATES,9,6,2.555555556,1,2.055555556,1.571428571,2.875,4,5.5
SWEDEN,3,3,2.333333333,1,2.333333333,1,3,0,
JAPAN,3,3,2,1,2,0.5,3,1,5
GERMANY,3,2,1.333333333,0,2,0,4,1,4
IFSC GIFT CITY,7,5,0.8571428571,0,0.6666666667,0.5,1,0,
AUSTRALIA,3,2,0,0,0,0,0,0,
RUSSIA,3,2,0,0,0,0,0,0,
COLOMBIA,4,2,0,0,0,0,0,0,
ITALY,3,2,0,0,0,0,0,0,
MYANMAR,6,2,0,0,0,0,0,0,
