jurisdiction,resident_entities,resident_entity_pct,resident_parent_groups,unique_observed_intermediaries,unique_intermediary_pct,observed_entity_origin_edges,cross_border_child_edges,destination_jurisdictions,target_paths_below,pooled_target_path_pct,equal_parent_target_path_pct,loo_min_target_path_pct,loo_max_target_path_pct,parents_affected,target_paths_below_per_resident,level0_gateways,mean_gateway_descendants,median_gateway_descendants
NETHERLANDS,110,6.010928962,21,59,14.64019851,298,225,75,540,29.4438386,20.88493784,22.42622951,32.96703297,16,4.909090909,13,34.84615385,12
UNITED STATES OF AMERICA,363,19.83606557,19,69,17.12158809,326,54,23,381,20.7742639,14.92744967,15.87301587,23.73770492,16,1.049586777,28,9.892857143,1.5
MAURITIUS,57,3.114754098,13,25,6.203473945,190,162,52,308,16.79389313,14.66435446,11.7612978,19.14754098,10,5.403508772,17,17.88235294,5
UNITED KINGDOM,99,5.409836066,23,39,9.677419355,106,71,37,219,11.94111232,10.21413418,8.131147541,12.88156288,16,2.212121212,13,8.923076923,2
SINGAPORE,60,3.278688525,17,21,5.210918114,96,70,36,147,8.015267176,13.55185286,6.109865471,9.31147541,13,2.45,18,7.5,3.5
CYPRUS,15,0.8196721311,5,6,1.488833747,51,44,30,114,6.215921483,2.981728281,2.344231956,6.95970696,5,7.6,3,29,11
GERMANY,84,4.590163934,15,25,6.203473945,79,41,17,99,5.398037077,2.316495532,1.967213115,6.043956044,7,1.178571429,3,1.333333333,0
SWITZERLAND,25,1.366120219,11,7,1.736972705,46,37,25,89,4.852780807,7.489003069,2.900167317,5.836065574,7,3.56,3,13.66666667,10
JERSEY,2,0.1092896175,2,2,0.4962779156,7,7,6,64,3.489640131,0.7699022226,0.131147541,3.948180136,2,32,0,,
FINLAND,11,0.6010928962,4,5,1.240694789,24,17,16,55,2.998909487,1.040646903,0.5901639344,3.392967304,3,5,0,,
ESTONIA,2,0.1092896175,1,2,0.4962779156,4,4,4,47,2.562704471,0.5432269995,0,2.899444787,1,23.5,0,,
LUXEMBOURG,9,0.4918032787,5,7,1.736972705,18,16,7,40,2.181025082,0.7641298988,1.048735349,2.442002442,4,4.444444444,0,,
CANADA,27,1.475409836,12,5,1.240694789,21,15,10,31,1.690294438,1.647426647,0.0570450656,2.032786885,2,1.148148148,0,,
ISRAEL,41,2.240437158,6,3,0.7444168734,28,0,1,28,1.526717557,0.7559478818,0.1221001221,1.836065574,3,0.6829268293,3,9,1
AUSTRALIA,57,3.114754098,14,13,3.225806452,23,6,6,27,1.47219193,0.4234821008,0.7868852459,1.648351648,3,0.4736842105,3,0,0
UNITED ARAB EMIRATES,44,2.404371585,15,8,1.985111663,27,17,14,27,1.47219193,1.195542616,0.9836065574,1.665638495,7,0.6136363636,9,2.555555556,1
HONG KONG,14,0.7650273224,8,6,1.488833747,14,14,5,24,1.308615049,0.4283642645,0.5245901639,1.465201465,4,1.714285714,0,,
BELGIUM,7,0.3825136612,5,3,0.7444168734,18,17,16,24,1.308615049,0.4297389274,0.06169031462,1.573770492,2,3.428571429,0,,
FRANCE,43,2.349726776,12,8,1.985111663,20,4,5,21,1.145038168,0.419882799,0.3278688525,1.295496607,3,0.488372093,0,,
JAPAN,25,1.366120219,12,5,1.240694789,18,11,11,21,1.145038168,0.652575753,0.5245901639,1.295496607,4,0.84,3,2,1
HUNGARY,10,0.5464480874,3,4,0.9925558313,8,6,7,21,1.145038168,0.3077982458,0.131147541,1.282051282,3,2.1,0,,
CHINA,61,3.333333333,9,5,1.240694789,16,0,1,16,0.8724100327,0.1849283403,0,0.9870450339,1,0.262295082,0,,
SPAIN,29,1.584699454,10,6,1.488833747,15,4,4,15,0.8178844057,0.6887724525,0.3278688525,0.9253547193,3,0.5172413793,0,,
BRITISH VIRGIN ISLANDS,3,0.1639344262,3,2,0.4962779156,6,6,5,15,0.8178844057,0.5180776014,0.1158748552,0.9836065574,2,5,0,,
DENMARK,9,0.4918032787,6,2,0.4962779156,13,13,11,14,0.7633587786,1.112077873,0.1669449082,0.9180327869,2,1.555555556,0,,
CHANNEL ISLAND,1,0.05464480874,1,1,0.2481389578,10,10,3,14,0.7633587786,1.470588235,0,0.9180327869,1,14,0,,
BARBADOS,10,0.5464480874,2,5,1.240694789,6,4,4,10,0.5452562704,0.3417107584,0.05793742758,0.6557377049,2,1,0,,
SOUTH KOREA,15,0.8196721311,8,3,0.7444168734,9,4,5,9,0.4907306434,0.3981154854,0.1135718342,0.5552128316,3,0.6,0,,
SRI LANKA,8,0.4371584699,6,2,0.4962779156,2,1,2,9,0.4907306434,0.1607906143,0.06169031462,0.5901639344,2,1.125,0,,
ITALY,28,1.530054645,13,6,1.488833747,8,3,4,8,0.4362050164,0.4335276931,0.1703577513,0.5245901639,4,0.2857142857,3,0,0
SWEDEN,12,0.6557377049,8,4,0.9925558313,6,5,2,8,0.4362050164,1.875955132,0.1646542261,0.5245901639,4,0.6666666667,3,2.333333333,1
BRAZIL,29,1.584699454,11,5,1.240694789,6,1,2,6,0.3271537623,0.2046921346,0.1711351968,0.3663003663,4,0.2068965517,0,,
NAMIBIA,13,0.7103825137,2,2,0.4962779156,6,0,1,6,0.3271537623,0.6302521008,0,0.393442623,1,0.4615384615,0,,
IRELAND,11,0.6010928962,7,2,0.4962779156,2,2,1,6,0.3271537623,0.2372258241,0.0570450656,0.393442623,2,0.5454545455,0,,
IFSC GIFT CITY,9,0.4918032787,5,3,0.7444168734,5,3,3,6,0.3271537623,1.774891775,0.1097092704,0.393442623,2,0.6666666667,7,0.8571428571,0
SOUTH AFRICA,43,2.349726776,14,2,0.4962779156,2,0,1,4,0.2181025082,0.1468253968,0.05793742758,0.262295082,2,0.09302325581,0,,
POLAND,16,0.8743169399,7,2,0.4962779156,2,2,2,3,0.1635768811,0.0346740638,0,0.1850709439,1,0.1875,0,,
MOZAMBIQUE,12,0.6557377049,5,2,0.4962779156,3,0,1,3,0.1635768811,0.2031368103,0.05580357143,0.1967213115,2,0.25,0,,
EUROPEAN UNION,1,0.05464480874,1,1,0.2481389578,2,2,2,3,0.1635768811,0.3968253968,0,0.1967213115,1,3,0,,
TURKEY,14,0.7650273224,5,1,0.2481389578,2,0,1,2,0.1090512541,0.09784735812,0,0.131147541,1,0.1428571429,0,,
BOTSWANA,13,0.7103825137,1,1,0.2481389578,2,0,1,2,0.1090512541,0.06613756614,0,0.131147541,1,0.1538461538,0,,
INDONESIA,13,0.7103825137,5,1,0.2481389578,2,0,1,2,0.1090512541,0.06613756614,0,0.131147541,1,0.1538461538,0,,
PORTUGAL,12,0.6557377049,7,1,0.2481389578,2,2,2,2,0.1090512541,0.03353454058,0,0.131147541,1,0.1666666667,0,,
CHILE,11,0.6010928962,7,2,0.4962779156,2,0,1,2,0.1090512541,0.1700680272,0,0.131147541,1,0.1818181818,0,,
TANZANIA,7,0.3825136612,2,1,0.2481389578,2,0,1,2,0.1090512541,0.05330490405,0,0.131147541,1,0.2857142857,0,,
GABON,5,0.2732240437,1,2,0.4962779156,2,1,2,2,0.1090512541,0.05330490405,0,0.131147541,1,0.4,0,,
MEXICO,32,1.74863388,7,1,0.2481389578,1,1,1,1,0.05452562704,0.04409171076,0,0.06557377049,1,0.03125,0,,
ARGENTINA,9,0.4918032787,5,1,0.2481389578,1,0,1,1,0.05452562704,0.04409171076,0,0.06557377049,1,0.1111111111,0,,
