level,reported_target_occurrences,reported_pct_all_targets,reconstructed_complete_paths,reconstructed_pct_complete_paths
0,184,10.03271538,184,10.90693539
1,779,42.47546347,756,44.81327801
2,303,16.52126499,324,19.20569057
3,120,6.543075245,175,10.37344398
4,106,5.779716467,123,7.2910492
5,128,6.979280262,75,4.445761707
6,79,4.307524537,30,1.778304683
7,51,2.780806979,14,0.8298755187
8,31,1.690294438,6,0.3556609366
9,21,1.145038168,0,0
10,15,0.8178844057,0,0
11,12,0.6543075245,0,0
12,5,0.2726281352,0,0
